,title,artist,number,duration,t_eps,href,status
0,Chicago,25 or 6 to 4,176,4:50,0.0,https://ipleer.fm/song/101272384/Chicago_Chicago_-_25_or_6_to_4/,Downloaded
1,Sukiyaki,A Taste Of Honey,1286,3:43,1.0,https://ipleer.fm/song/2787937/A_Taste_Of_Honey_-_Sukiyaki/,Downloaded
2,Chiquitita,ABBA,183,5:25,0.0,https://ipleer.fm/song/1958012/ABBA_-_Chiquitita/,Downloaded
3,"Knowing Me, Knowing You",ABBA,231,4:04,1.0,https://ipleer.fm/song/1823039/ABBA_-_Knowing_Me_Knowing_You_Arrival_1976/,Downloaded
4,Honey Honey,ABBA,902,2:54,0.0,https://ipleer.fm/song/7201410/ABBA_-_Honey_Honey_with_lyrics/,Downloaded
5,Fernando,Abba,218,4:16,1.0,https://ipleer.fm/song/1822194/Abba_-_Fernando_en_espa_ol/,Downloaded
6,On And On And On,Abba,894,3:42,2.0,https://ipleer.fm/song/110461181/World_Radio_Abba_-_On_And_On_And_On/,Downloaded
7,Take A Chance On Me,Abba,961,4:02,2.0,https://ipleer.fm/song/1822710/Abba_-_Take_A_Chance_On_Me/,Downloaded
8,Last Child,Aerosmith,15,3:26,0.0,https://ipleer.fm/song/37368692/Aerosmith_-_Last_Child/,Downloaded
9,"Oh Me, Oh My (Dreams In My Arms)",Al Green,573,2:47,0.0,https://ipleer.fm/song/105560896/Al_Green_-_Oh_Me_Oh_My_Dreams_In_My_Arms/,Downloaded
10,Take Me Down,Alabama,1082,3:44,0.0,https://ipleer.fm/song/95689407/Alabama_-_Take_Me_Down/,Downloaded
11,Undercover Angel,Alan O'Day,367,3:33,,https://ipleer.fm/search/q/Alan+ODay+Undercover+Angel/,No_correct_songs_found
12,Schoool's out,Alice Cooper,195,4:21,,https://ipleer.fm/search/q/Alice+Cooper+Schoools+out/,No_correct_songs_found
13,Hey Stoopid,Alice Cooper,599,4:35,1.0,https://ipleer.fm/song/1912043/Alice_Cooper_-_Hey_Stoopid/,Downloaded
14,Naked Eyes,Always Something There to Remind Me,181,3:41,6.0,https://ipleer.fm/song/854914/Naked_Eyes_2007_-_Always_Something_There_to_Remind_Me_Accoustic/,Downloaded
15,Shadow Dancing,Andy Gibb,193,4:34,1.0,https://ipleer.fm/song/77655/Andy_Gibb_-_Shadow_Dancing/,Downloaded
16,Giving You the Best That I Got,Anita Baker,578,4:21,,https://ipleer.fm/search/q/Anita+Baker+Giving+You+the+Best+That+I+Got/,No_correct_songs_found
17,Caught Up In The Rapture,Anita Baker,647,5:18,1.0,https://ipleer.fm/song/83540/Anita_Baker_-_Caught_Up_In_The_Rapture/,Downloaded
18,Sweet Love,Anita Baker,837,4:26,0.0,https://ipleer.fm/song/83554/Anita_Baker_-_Sweet_Love/,Downloaded
19,I Can't Stand The Rain,Ann Peebles,377,2:34,,,List_page_not_found
20,Could I Have This Dance,Anne Murray,199,5:03,,https://ipleer.fm/search/q/Anne+Murray+Could+I+Have+This+Dance/,No_correct_songs_found
21,Daydream Believer,Anne Murray,312,2:27,0.0,https://ipleer.fm/song/86225/Anne_Murray_-_Daydream_Believer/,Downloaded
22,A Love Song,Anne Murray,917,2:44,3.0,https://ipleer.fm/song/88645955/Anne_Murray_-_I_Want_To_Sing_You_A_Love_Song/,Downloaded
23,I Never Loved A Man,Aretha Franklin,403,2:44,0.0,https://ipleer.fm/song/33489378/Aretha_Franklin_-_I_Never_Loved_A_Man_The_Way_I_Love_You_stereo_version_Bonus_1995/,Downloaded
24,Chain Of Fools,Aretha Franklin,418,2:48,0.0,https://ipleer.fm/song/1859295/Aretha_Franklin_-_Chain_Of_Fools/,Downloaded
25,Oh Me Oh My (I'm A Fool For You Baby),Aretha Franklin,1042,3:42,0.0,https://ipleer.fm/song/8234157/Aretha_Franklin_-_Oh_Me_Oh_My_I_m_A_Fool_For_You_Baby/,Downloaded
26,Sweet Soul Music,Arthur Conley,965,2:23,0.0,https://ipleer.fm/song/1863021/Arthur_Conley_-_Sweet_Soul_Music/,Downloaded
27,How Blue Can You Get,B.B. King,510,2:43,2.0,https://ipleer.fm/song/125064/B.B._King_-_How_Blue_Can_You_Get/,Downloaded
28,The Thrill Is Gone,B.B. King,605,4:04,4.0,https://ipleer.fm/song/67831439/B.B._King_-_The_Thrill_Is_Gone/,Downloaded
29,Hooked On A Feeling,B.J. Thomas,1048,3:11,,,List_page_not_found
30,Roll On Down The Highway,Bachman-Turner Overdrive,351,4:00,1.0,https://ipleer.fm/song/128534/Bachman-Turner_Overdrive_-_Roll_On_Down_The_Highway/,Downloaded
31,Heartaches,Bachman-Turner Overdrive,699,3:54,1.0,https://ipleer.fm/song/41836759/Bachman-Turner_Overdrive_-_Heartaches/,Downloaded
32,Rock 'n' Roll Fantasy,Bad Company,27,3:20,0.0,https://ipleer.fm/song/68485812/Bad_Company_1979_Desolation_Angels_-_1.Rock_n_Roll_Fantasy/,Downloaded
33,Maybe Tomorrow,Badfinger,723,2:49,1.0,https://ipleer.fm/song/77115311/Badfinger_-_Magic_Christian_Music_US_LP_-_Maybe_Tomorrow/,Downloaded
34,"Tarzan Boy (From ""Teenage Mutant Ninja Turtles III"")",Baltimora,572,3:52,,,List_page_not_found
35,A Trick Of The Night,Bananarama,99,4:09,,https://ipleer.fm/search/q/Bananarama+A+Trick+Of+The+Night/,No_correct_songs_found
36,Venus,Bananarama,981,3:42,0.0,https://ipleer.fm/song/133570/Bananarama_-_Venus/,Downloaded
37,Hello Stranger,Barbara Lewis,984,2:41,0.0,https://ipleer.fm/song/23725808/Barbara_Lewis_-_Hello_Stranger/,Downloaded
38,People,Barbara Streisand,49,3:41,1.0,https://ipleer.fm/song/36238776/Barbara_Streisand_-_People/,Downloaded
39,Funny Girl,Barbra Streisand,1118,2:45,0.0,https://ipleer.fm/song/42301896/Barbra_Streisand_-_Funny_Girl/,Downloaded
40,"You're The First, The Last, My Everything",Barry White,796,3:24,,,List_page_not_found
41,Saturday Night,Bay City Rollers,1228,2:58,0.0,https://ipleer.fm/song/141667/Bay_City_Rollers_-_Saturday_Night/,Downloaded
42,Brass Monkey,Beastie Boys,634,2:39,,,List_page_not_found
43,Love Me Do,Beatles,50,2:23,0.0,https://ipleer.fm/song/18910184/Beatles_-_Love_Me_Do/,Downloaded
44,Gordon Lightfoot,Beautiful,180,3:23,0.0,https://ipleer.fm/song/554779/Vincent_Gallo_-_Beautiful_-_Gordon_Lightfoot/,Downloaded
45,Amor,Ben E. King,583,3:05,0.0,https://ipleer.fm/song/24349099/Ben_E._King_-_Amor_OST_Valentine_s_Day/,Downloaded
46,Oh My Angel,Bertha Tillman,511,2:22,0.0,https://ipleer.fm/song/37737313/Bertha_Tillman_-_Oh_My_Angel/,Downloaded
